doc_id,split,image_path,annotation_path,form_items,words_count,question_count,answer_count,header_count,other_count,text_preview
0000971160,train,data/raw/funsd/dataset/training_data/images/0000971160.png,data/raw/funsd/dataset/training_data/annotations/0000971160.json,24,148,11,8,2,3,"R&D : Suggestion: Date: Licensee Yes No 597005708 R&D QUALITY IMPROVEMENT SUGGESTION/ SOLUTION FORM Name / Phone Ext. : M. Hamann P. Harper, P. Martinez 9/ 3/ 92 R&D Group: J. S. Wigand Supervisor / Manager Discontinue coal retention analyses on licensee submitted product samples (Note : Coal Retent"
0000989556,train,data/raw/funsd/dataset/training_data/images/0000989556.png,data/raw/funsd/dataset/training_data/annotations/0000989556.json,100,232,46,42,7,5,Brand: Style: PHOENIX Company: Country: Macket: CYPRUS NICOSIA Weights Adhesive: Supplier(s) Color Porosity substance Ecusta E.30639 None (coresta) Type Overall skip Dimension Positioning Swift Other N/A x Date: Date: 620419245 Date: Replaces: 05045 New Page 1 of 10 RESTRICTED BROWN & WILLIAMSON INT
0000990274,train,data/raw/funsd/dataset/training_data/images/0000990274.png,data/raw/funsd/dataset/training_data/annotations/0000990274.json,31,136,14,12,1,4,"DATE: INITIATED BY: COMPLETION COUNTRY: PRODUCT: BELGIUM BY: DATE: NOTES: 620429480 RECEIVED SERVICE REQUEST FROM R & D BY INTERNATIONAL LICENSEE OPERATIONS REQUEST NO.: 25- 84 March 27, 1984 P. H. HARPER PHH TARGET DATE: April 13, 1984 LUCKY STRIKE Filter and VICEROY NATURE OF WORK: Advise if local"
0000999294,train,data/raw/funsd/dataset/training_data/images/0000999294.png,data/raw/funsd/dataset/training_data/annotations/0000999294.json,181,295,43,109,5,24,SUBJECT: SAMPLE: CIGARETTES: TAR 9.1 NIC .88 MOIST 14.0 MENT .841 PREFERENCE: Bright 39 34 43 35 42 8 9 11 6 8 200 100 100 100 100 ATTRIBUTES: 53+++ 60+++ 46 56+++ 50 (n=) Total Male Female 35+ KL Bright KL Bright KL Bright KL Bright KL Bright 4.51 4.45 4.09** 4.59 4.31*** 3.60** 3.64*** 3.39*** 3.1
0001118259,train,data/raw/funsd/dataset/training_data/images/0001118259.png,data/raw/funsd/dataset/training_data/annotations/0001118259.json,31,92,3,23,2,3,B&W WCC 621800455 Reconstituted Tobacco Leaf Substitutions Export Formulas Revision Date: Allowable Grade Substitutions for Export CPCL Standard Grade Mark Allowable Substitutions PCFS Flue cured fines PCBS Burley fines MC- 4 Manufacturing fines MC -6 Stem Meal MC -7 Winnowers RXF Fine flue cured st
0001123541,train,data/raw/funsd/dataset/training_data/images/0001123541.png,data/raw/funsd/dataset/training_data/annotations/0001123541.json,40,189,20,12,4,4,"DATE: DEPARTMENT: Type EQPR B&W QUALITY Implement: Date 632120763 QUALITY IMPROVEMENT SUGGESTION OUR MISSION IS SUPERIOR CONSUMER SATISFACTION Highest Quality. Teamwork, Do Right Things Right The First Time RESEARCH & DEVELOPMENT Quality Coord Only June 21, 1993 R&D Library Carol S. Lincoln 407- 64-"
0001129658,train,data/raw/funsd/dataset/training_data/images/0001129658.png,data/raw/funsd/dataset/training_data/annotations/0001129658.json,42,252,16,12,4,10,"FAX: DATE: FROM: CHARGEBACK: RECIPIENT COMPANY FAX No. COMMENTS No: Name: Yes Confirmation: 2074956978 WINSTON & STRAWN Fax Cover Sheet MAMI TRIAL SITE, 2000 FIRST UNION FINANCIAL CENTER, 200 SOUTH BISCAYNE BOULEVARD MIAMI, FLORIDA 33131 (305) 400 6 06 200 PARK AVENUE NEWYORK NY 10166 4193 212 294-6"
0001209043,train,data/raw/funsd/dataset/training_data/images/0001209043.png,data/raw/funsd/dataset/training_data/annotations/0001209043.json,72,147,28,36,6,2,Brand Title Size Magazine Location SCORE BASE SCORE BASE COMMENTS PM6 OVERALL SEX: AGE: Male Female 214 TIME 1.0 (.97) 31 (167) (83) (84) 31 31 (51) (46) 2.0 0.0 (81) (86) 33 29 (42) (55) 2.4 0.0 4/19/74 770205964 33 (42) (125) 30 MAGAZINE SCORES AUDIENCE STUDIES SALEM (RJR) Project # Total Sample 7
0001239897,train,data/raw/funsd/dataset/training_data/images/0001239897.png,data/raw/funsd/dataset/training_data/annotations/0001239897.json,49,135,14,26,4,5,SUBJECT: SAMPLE: CIGARETTES PROJECT REFERENCE ATTRIBUTES VICEROY Competitive 54% 46%46% 47% 53% VICEROY Competitive -13 -4 -7 +7* +14 +26* -15* +22 +1 +5 -5 +21 STRENGTH HARSHNESS AFTERTASTE TOP- LINES NON- MENTHOL PRODUCT TEST # 19 4- 26A 25% Replacement of Propylene Glycol With SORBITOL 250 VICERO
0001438955,train,data/raw/funsd/dataset/training_data/images/0001438955.png,data/raw/funsd/dataset/training_data/annotations/0001438955.json,74,141,21,42,7,4,"Title OVERALL: SEX: AGE: BRAND SMOKER Male 465508326 Female 6 7 (17) (205) 3.1 4.2 (129) (95) 5 9 (117) (105) (63) (66) (46) (49) 3.2 3.0 4.4 4.0 1.9 5.0 (104) (120) 7 7 (101) (121) 3.4% (224) 7% (222) BELAIR 285 % % SCORE BASE SCORE BASE PM6 COMMENTS Brand NEWSPAPER SCORES AUDIENCE STUDIES "" KALEID"
0001456787,train,data/raw/funsd/dataset/training_data/images/0001456787.png,data/raw/funsd/dataset/training_data/annotations/0001456787.json,74,168,26,40,6,2,SECRET Weights Supplier(s) Color Porosity Substance mm mm mm 13% mg mg N/A N/A N/A N/A 620753790 CHAMP S/ L TRIAL SPECIFICATION BWIT Suggestion HK Trial CIGARETTE MAKING Physical Characteristics Overall Cigarette Length Tobacco Rod Length Filter Plug Length Filter Plug Pressure Drop (unencap.) Filte
0001463282,train,data/raw/funsd/dataset/training_data/images/0001463282.png,data/raw/funsd/dataset/training_data/annotations/0001463282.json,101,229,45,43,6,7,"Date: Description: Budgeted: Yes Yes No No x x 23.3 Supplier Cost ($) Est. Travel Kapuler PROJECTED: Date Date Date Date Date cc: 1990 370,000.00 199,900.00 -35,675,00 -O- 164,225.00 205,775.00 Product Test 400 Kapuler Howard BARCLAY 670801704 6 No. MARKETING RESEARCH AUTHORIZATION (Recommended Prop"
